Credit Policy,Purpose,Interest Rate,Installments,Log Annual Income,Annual Income,Debt to Income Ratio,FICO Score,FICO Score Bucket,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,,,,
1,Debt Consolidation,8.38%,$78.78,10.34174248,"$31,000.00",10.61%,722,701-750,7089,"$2,773.00",10.80%,1,0,0,0,,,,
1,Debt Consolidation,9.51%,$608.72,11.14186178,"$69,000.00",11.29%,767,751-800,9179,"$2,279.00",20.70%,3,0,0,0,,,,
1,Debt Consolidation,9.83%,$386.25,11.26446411,"$78,000.00",15.74%,722,701-750,4379,"$28,110.00",31.90%,0,0,0,0,,,,
1,Small Business,9.20%,$669.76,12.37581542,"$237,000.00",2.70%,792,751-800,9029,$997.00,1.20%,2,0,0,0,,,,
1,Debt Consolidation,9.20%,$478.40,10.91508846,"$55,000.00",12.28%,747,701-750,7380,"$2,787.00",2.30%,1,0,0,0,,,,
1,All Other,8.38%,$567.22,11.06663836,"$64,000.00",5.25%,772,751-800,3540,"$1,612.00",12.10%,4,0,0,1,,,,
1,Credit Card,14.88%,$346.07,11.08214255,"$65,000.00",23.89%,672,651-700,7260,"$10,214.00",65.10%,1,2,1,0,,,,
1,Debt Consolidation,14.25%,$685.99,10.77895629,"$48,000.00",2.10%,672,651-700,3870,"$19,892.00",83.60%,2,0,0,0,,,,
1,All Other,9.20%,$255.15,10.46310334,"$35,000.00",1.03%,727,701-750,1230,"$1,834.00",12.80%,1,0,0,0,,,,
1,Home Improvement,12.04%,$498.51,12.21602298,"$202,000.00",17.08%,682,651-700,5820,"$108,397.00",67.30%,3,0,0,0,,,,
1,Home Improvement,7.75%,$124.89,11.08214255,"$65,000.00",9.25%,757,751-800,5010,"$3,348.00",5.30%,0,0,0,0,,,,
1,All Other,7.43%,$217.52,10.40426284,"$33,000.00",10.04%,772,751-800,3630,$983.00,2.10%,1,0,0,0,,,,
1,All Other,9.83%,$241.41,11.06663836,"$64,000.00",0.58%,712,701-750,5430,$603.00,30.10%,0,1,0,0,,,,
1,Debt Consolidation,13.30%,$406.07,10.81683395,"$49,853.00",24.22%,692,651-700,6509,"$13,662.00",60.70%,0,1,0,0,,,,
1,Debt Consolidation,6.00%,$467.45,11.04292184,"$62,500.00",15.28%,687,651-700,4652,"$26,044.00",34.50%,3,0,0,0,,,,
1,Credit Card,9.83%,$386.25,10.1266311,"$25,000.00",16.75%,732,701-750,4918,"$16,212.00",50.70%,0,0,0,0,,,,
1,Debt Consolidation,9.83%,$257.50,10.49127422,"$36,000.00",21.33%,762,751-800,6300,"$8,516.00",11.10%,0,0,0,0,,,,
1,Credit Card,8.07%,$62.74,10.30895266,"$30,000.00",3.68%,732,701-750,2580,"$3,953.00",15.90%,0,0,0,0,,,,
1,Major Purchase,9.20%,$223.26,11.38509209,"$88,000.00",13.28%,727,701-750,5836,"$12,672.00",21.00%,3,3,0,0,,,,
1,Debt Consolidation,9.51%,$320.38,10.85127695,"$51,600.00",9.60%,717,701-750,1469,"$1,346.00",23.20%,2,0,0,0,,,,
1,Debt Consolidation,9.20%,$318.93,10.71441777,"$45,000.00",4.88%,732,701-750,4079,"$12,425.00",94.20%,0,0,0,0,,,,
1,Debt Consolidation,13.93%,$527.52,10.6454249,"$42,000.00",19.71%,667,651-700,2490,"$12,032.00",87.20%,3,0,1,1,,,,
1,Credit Card,7.75%,$327.83,10.95779958,"$57,400.00",12.86%,802,801-850,5490,"$14,377.00",10.20%,0,0,0,0,,,,
1,All Other,9.51%,$640.76,11.28978191,"$80,000.00",0.22%,767,751-800,8476,$464.00,18.60%,8,0,0,1,,,,
1,Debt Consolidation,11.72%,$196.84,10.47522952,"$35,427.00",15.38%,697,651-700,1709,"$10,900.00",42.40%,3,0,0,0,,,,
1,Debt Consolidation,10.46%,$42.23,10.75790288,"$47,000.00",18.15%,707,701-750,2309,"$7,006.00",48.00%,1,0,1,0,,,,
1,Debt Consolidation,9.83%,$136.00,10.77895629,"$48,000.00",11.93%,717,701-750,6329,"$19,708.00",37.10%,0,1,0,0,,,,
1,Debt Consolidation,12.67%,$182.77,11.21182037,"$74,000.00",11.25%,707,701-750,8100,"$30,949.00",54.30%,0,0,0,0,,,,
1,Debt Consolidation,10.46%,$194.91,10.54534144,"$38,000.00",13.42%,697,651-700,4080,"$6,101.00",36.80%,3,0,0,0,,,,
1,All Other,8.32%,$94.46,10.1266311,"$25,000.00",1.54%,727,701-750,2010,"$1,235.00",28.70%,0,0,0,0,,,,
1,Debt Consolidation,12.61%,$450.67,10.46310334,"$35,000.00",19.71%,692,651-700,3030,"$18,028.00",88.40%,1,0,0,0,,,,
1,Debt Consolidation,9.45%,$387.32,10.89673933,"$54,000.00",11.02%,742,701-750,3285,"$8,828.00",54.80%,5,0,0,0,,,,
1,Debt Consolidation,8.63%,$47.45,9.77246729,"$17,544.00",9.37%,722,701-750,5099,"$6,033.00",31.10%,1,0,0,0,,,,
1,Credit Card,8.32%,$201.50,10.81977828,"$50,000.00",13.99%,752,751-800,5040,"$64,885.00",39.60%,0,0,0,0,,,,
1,Debt Consolidation,13.24%,$405.72,11.31447453,"$82,000.00",15.12%,672,651-700,5760,"$27,905.00",81.80%,1,2,0,0,,,,
1,Debt Consolidation,11.97%,$336.98,11.40863105,"$90,096.00",6.61%,692,651-700,9570,"$14,081.00",73.70%,0,0,1,0,,,,
1,All Other,9.45%,$333.70,11.00209984,"$60,000.00",6.02%,787,751-800,10860,$426.00,0.70%,0,0,0,1,,,,
1,Debt Consolidation,13.87%,$655.00,11.28522153,"$79,636.00",7.16%,672,651-700,12554,"$12,301.00",56.40%,1,0,0,0,,,,
1,All Other,8.63%,$101.21,9.798127037,"$18,000.00",14.38%,722,701-750,1530,$0.00,0.00%,0,0,0,0,,,,
1,Small Business,9.76%,$533.77,9.903487553,"$20,000.00",4.68%,737,701-750,3408,"$2,248.00",11.60%,0,0,0,0,,,,
1,All Other,10.71%,$16.31,8.9751293,"$7,904.04",3.04%,682,651-700,6929,$44.00,3.70%,2,1,0,0,,,,
1,Small Business,10.08%,$807.62,10.51867319,"$37,000.00",8.53%,767,751-800,3346,"$2,296.00",7.60%,3,0,0,0,,,,
1,Debt Consolidation,12.92%,$347.50,11.15625052,"$70,000.00",9.05%,702,701-750,4530,"$16,264.00",90.60%,3,0,0,1,,,,
1,All Other,10.39%,$194.71,10.66895539,"$43,000.00",17.47%,702,701-750,3540,"$12,758.00",40.40%,0,0,0,0,,,,
1,All Other,8.00%,$188.02,10.77895629,"$48,000.00",14.08%,792,751-800,4890,"$2,573.00",16.30%,1,0,0,0,,,,
1,Debt Consolidation,9.76%,$237.95,11.14186178,"$69,000.00",12.57%,762,751-800,3420,"$15,176.00",31.60%,0,0,0,0,,,,
1,Debt Consolidation,10.08%,$148.61,10.6454249,"$42,000.00",5.91%,727,701-750,4680,"$7,239.00",16.30%,2,0,0,0,,,,
1,Credit Card,8.63%,$189.77,10.57131693,"$39,000.00",11.20%,722,701-750,2670,"$11,217.00",52.90%,3,0,0,0,,,,
1,Debt Consolidation,10.08%,$84.00,10.23995979,"$28,000.00",14.57%,702,701-750,2490,"$12,979.00",31.00%,0,0,0,0,,,,
1,All Other,9.76%,$192.93,12.20607265,"$200,000.00",4.84%,707,701-750,5760,"$21,894.00",0.00%,2,0,0,0,,,,
1,All Other,11.97%,$431.60,11.32659589,"$83,000.00",3.92%,682,651-700,3479,"$4,933.00",15.10%,2,0,0,0,,,,
1,Debt Consolidation,10.71%,$339.06,10.35456317,"$31,400.00",4.74%,722,701-750,1290,"$6,206.00",35.30%,0,0,0,0,,,,
1,Debt Consolidation,9.76%,$225.09,10.22557105,"$27,600.00",17.78%,717,701-750,1830,"$16,326.00",48.60%,2,0,0,0,,,,
1,Debt Consolidation,10.39%,$243.38,10.71441777,"$45,000.00",5.57%,707,701-750,4140,$33.00,0.30%,0,0,0,0,,,,
1,Debt Consolidation,7.37%,$24.84,10.46310334,"$35,000.00",7.65%,777,751-800,4620,"$19,901.00",29.80%,0,0,0,0,,,,
1,Credit Card,8.00%,$90.88,9.852194258,"$19,000.00",6.32%,737,701-750,2981,"$4,385.00",24.00%,0,0,0,0,,,,
1,Debt Consolidation,13.55%,$589.20,10.69194491,"$44,000.00",18.52%,677,651-700,4800,"$18,966.00",70.50%,2,0,0,0,,,,
1,Home Improvement,9.45%,$96.03,11.22524339,"$75,000.00",1.49%,712,701-750,6220,"$8,788.00",39.20%,0,0,1,0,,,,
1,All Other,10.71%,$48.91,10.6454249,"$42,000.00",18.14%,697,651-700,3091,"$1,276.00",63.80%,1,0,0,0,,,,
1,Debt Consolidation,12.29%,$200.12,10.49127422,"$36,000.00",14.77%,672,651-700,4830,"$22,635.00",45.50%,0,0,0,0,,,,
1,Credit Card,7.68%,$199.61,11.52682837,"$101,400.00",0.83%,777,751-800,8370,"$1,715.00",8.20%,1,0,0,0,,,,
1,Credit Card,8.00%,$310.24,11.52682837,"$101,400.00",3.19%,777,751-800,8370,"$1,715.00",8.20%,1,0,0,0,,,,
1,All Other,9.76%,$80.39,9.998797732,"$22,000.00",22.25%,737,701-750,2404,"$2,574.00",10.50%,1,0,0,0,,,,
1,Credit Card,8.32%,$160.57,10.98529272,"$59,000.00",7.08%,767,751-800,13319,"$25,336.00",35.90%,0,0,0,0,,,,
1,Debt Consolidation,13.55%,$343.00,10.2797298,"$29,136.00",15.82%,667,651-700,3539,"$18,485.00",65.30%,1,0,1,1,,,,
1,Debt Consolidation,9.45%,$272.09,10.81985828,"$50,004.00",17.33%,737,701-750,2430,"$9,048.00",26.60%,1,0,0,0,,,,
1,Credit Card,13.24%,$307.67,10.8036489,"$49,200.00",7.37%,672,651-700,7020,"$14,421.00",83.80%,0,2,0,0,,,,
1,Debt Consolidation,9.76%,$200.17,9.92329018,"$20,400.00",18.35%,742,701-750,2879,"$9,121.00",55.40%,1,0,0,0,,,,
1,All Other,10.71%,$260.82,12.27839331,"$215,000.00",17.66%,707,701-750,6630,"$120,563.00",92.40%,0,0,0,0,,,,
1,All Other,8.00%,$94.01,10.04324949,"$23,000.00",12.05%,742,701-750,1259,$710.00,7.80%,4,0,0,0,,,,
1,Educational,9.76%,$46.63,11.08214255,"$65,000.00",7.74%,707,701-750,3509,"$20,762.00",48.50%,2,0,0,0,,,,
1,Debt Consolidation,8.63%,$189.77,10.65320408,"$42,328.00",10.80%,732,701-750,3451,"$1,839.00",15.60%,3,0,0,0,,,,
1,Debt Consolidation,9.76%,$627.02,11.40756495,"$90,000.00",1.95%,767,751-800,3180,"$8,629.00",17.60%,0,0,0,0,,,,
1,Debt Consolidation,11.66%,$330.53,10.81174611,"$49,600.00",8.40%,687,651-700,3300,"$11,735.00",93.90%,2,0,0,0,,,,
1,All Other,10.39%,$584.12,11.28978191,"$80,000.00",0.86%,717,701-750,2092,"$5,506.00",52.40%,1,0,0,0,,,,
1,Debt Consolidation,11.97%,$199.20,10.98189713,"$58,800.00",6.00%,672,651-700,4410,"$3,831.00",34.20%,0,1,0,1,,,,
1,All Other,7.68%,$187.14,11.22524339,"$75,000.00",2.54%,802,801-850,6451,"$6,094.00",2.80%,0,0,0,0,,,,
1,Credit Card,10.08%,$193.83,10.59663473,"$40,000.00",16.17%,712,701-750,2699,"$15,597.00",60.00%,1,0,0,0,,,,
1,Small Business,10.08%,$807.62,11.87756858,"$144,000.00",3.84%,762,751-800,4725,"$52,214.00",8.70%,8,0,0,0,,,,
1,Small Business,9.76%,$644.71,10.16585182,"$26,000.00",9.14%,762,751-800,6752,$507.00,3.50%,0,0,0,1,,,,
1,Debt Consolidation,10.71%,$195.61,10.38554326,"$32,388.00",11.12%,687,651-700,4079,$0.00,0.00%,1,0,0,0,,,,
1,Debt Consolidation,11.03%,$163.77,10.53209621,"$37,500.00",5.73%,682,651-700,3299,"$4,760.00",60.30%,0,0,0,0,,,,
1,All Other,14.18%,$856.63,11.09741002,"$66,000.00",22.45%,707,701-750,2092,"$25,160.00",32.80%,2,0,0,1,,,,
1,Debt Consolidation,11.03%,$327.53,10.30895266,"$30,000.00",13.40%,707,701-750,3359,"$10,837.00",83.40%,1,0,0,1,,,,
1,Small Business,8.00%,$313.37,11.65268741,"$115,000.00",12.00%,777,751-800,5941,"$90,335.00",53.50%,3,0,0,0,,,,
1,Small Business,9.76%,$128.62,11.05089001,"$63,000.00",2.70%,712,701-750,6810,"$4,010.00",8.10%,0,0,0,0,,,,
1,Debt Consolidation,12.61%,$167.54,10.1266311,"$25,000.00",4.56%,667,651-700,4799,"$3,389.00",47.10%,2,0,1,0,,,,
1,Debt Consolidation,11.34%,$501.73,11.22524339,"$75,000.00",15.14%,707,701-750,6030,"$39,702.00",84.50%,0,0,0,0,,,,
1,Home Improvement,9.45%,$544.17,11.00209984,"$60,000.00",0.60%,762,751-800,3390,$653.00,3.20%,2,0,0,0,,,,
1,Debt Consolidation,8.00%,$188.02,11.00209984,"$60,000.00",9.82%,762,751-800,6419,"$5,274.00",45.90%,1,0,0,0,,,,
1,Debt Consolidation,11.66%,$90.07,10.858999,"$52,000.00",14.45%,677,651-700,2609,"$11,788.00",24.70%,3,0,0,0,,,,
1,Debt Consolidation,7.37%,$93.14,9.774118912,"$17,573.00",12.70%,772,751-800,6149,$122.00,3.70%,0,0,0,0,,,,
1,Debt Consolidation,15.45%,$348.87,10.91501573,"$54,996.00",13.16%,662,651-700,7979,"$22,122.00",78.70%,2,0,0,0,,,,
1,Small Business,7.68%,$155.95,10.23995979,"$28,000.00",0.43%,792,751-800,2267,$103.00,1.50%,0,0,0,0,,,,
1,Educational,9.76%,$347.27,11.32176496,"$82,600.00",11.89%,722,701-750,8669,"$8,866.00",24.30%,1,0,1,0,,,,
1,Small Business,11.34%,$493.50,11.51292546,"$100,000.00",2.32%,697,651-700,5970,"$4,929.00",33.50%,1,1,0,0,,,,
1,All Other,9.76%,$80.39,10.49127422,"$36,000.00",0.50%,702,701-750,1680,"$11,794.00",59.30%,0,0,0,0,,,,
1,Small Business,12.92%,$507.36,10.6454249,"$42,000.00",23.29%,717,701-750,5220,$462.00,11.30%,2,0,1,0,,,,
1,Debt Consolidation,13.24%,$608.58,11.00209984,"$60,000.00",22.40%,687,651-700,3151,"$5,855.00",54.70%,0,0,1,1,,,,
1,Debt Consolidation,10.08%,$646.10,11.00209984,"$60,000.00",10.06%,742,701-750,3960,"$6,688.00",39.10%,0,0,0,0,,,,
1,Credit Card,12.29%,$25.02,9.852194258,"$19,000.00",24.00%,707,701-750,2700,"$12,220.00",84.90%,0,0,0,0,,,,
1,Debt Consolidation,10.71%,$195.61,10.42228135,"$33,600.00",20.11%,717,701-750,2309,"$8,736.00",45.70%,1,0,0,0,,,,
1,All Other,13.24%,$507.15,11.14764215,"$69,400.00",3.29%,672,651-700,3659,$170.00,34.00%,0,0,0,0,,,,
1,Debt Consolidation,14.18%,$548.25,10.85220675,"$51,648.00",11.13%,662,651-700,2519,"$15,923.00",90.50%,0,0,0,0,,,,
1,All Other,8.63%,$142.33,9.210340372,"$10,000.00",0.00%,727,701-750,1110,$0.00,0.00%,0,1,0,0,,,,
1,Home Improvement,11.66%,$495.79,10.49127422,"$36,000.00",5.17%,692,651-700,4440,"$1,340.00",53.60%,2,1,0,1,,,,
1,All Other,11.03%,$327.53,10.11070495,"$24,605.00",9.17%,692,651-700,4110,"$8,575.00",70.30%,0,1,0,0,,,,
1,All Other,11.03%,$98.26,10.62132735,"$41,000.00",16.92%,682,651-700,1560,"$21,498.00",42.40%,1,0,0,0,,,,
1,Credit Card,14.82%,$587.82,11.55214618,"$104,000.00",20.12%,667,651-700,8250,"$32,406.00",91.80%,1,4,0,0,,,,
1,Debt Consolidation,11.97%,$131.97,9.782505656,"$17,721.00",15.51%,672,651-700,4290,"$7,902.00",17.00%,2,0,0,0,,,,
1,Home Improvement,11.66%,$330.53,11.43388226,"$92,400.00",10.74%,677,651-700,5519,"$46,789.00",66.70%,3,0,0,1,,,,
1,Debt Consolidation,12.61%,$254.65,11.24575165,"$76,554.00",4.62%,667,651-700,5129,"$7,897.00",47.90%,1,0,0,0,,,,
1,Credit Card,11.34%,$236.88,10.51867319,"$37,000.00",24.31%,742,701-750,4710,"$6,422.00",14.50%,2,0,0,0,,,,
1,Small Business,8.00%,$313.37,10.1266311,"$25,000.00",12.14%,802,801-850,7890,"$1,467.00",9.20%,0,0,0,0,,,,
1,Credit Card,11.66%,$826.31,11.51292546,"$100,000.00",18.88%,722,701-750,1949,"$16,694.00",33.10%,0,0,0,0,,,,
1,Debt Consolidation,8.00%,$156.69,10.37098805,"$31,920.00",10.71%,762,751-800,2309,"$1,698.00",7.90%,0,0,0,0,,,,
1,All Other,11.97%,$318.72,10.51856508,"$36,996.00",20.63%,702,701-750,3270,"$8,801.00",72.70%,0,0,0,0,,,,
1,Debt Consolidation,10.39%,$171.18,10.71441777,"$45,000.00",20.69%,732,701-750,2610,"$5,500.00",28.20%,0,0,0,0,,,,
1,Debt Consolidation,8.63%,$373.21,11.00209984,"$60,000.00",7.80%,757,751-800,3390,"$3,282.00",32.60%,3,0,0,0,,,,
1,Small Business,12.61%,$820.91,11.69524702,"$120,000.00",5.76%,697,651-700,2141,"$23,908.00",62.80%,3,0,0,1,,,,
1,Credit Card,10.71%,$815.04,10.858999,"$52,000.00",11.86%,727,701-750,1694,"$6,088.00",8.30%,0,0,0,1,,,,
1,All Other,10.71%,$358.62,11.00209984,"$60,000.00",0.40%,707,701-750,1620,"$2,217.00",28.40%,2,0,0,0,,,,
1,Debt Consolidation,12.92%,$213.72,11.294956,"$80,415.00",20.15%,677,651-700,8520,"$22,247.00",93.10%,1,0,0,0,,,,
1,Debt Consolidation,11.97%,$99.60,11.26446411,"$78,000.00",14.80%,672,651-700,4140,"$14,555.00",77.00%,0,0,0,0,,,,
1,Debt Consolidation,9.45%,$409.73,11.51292546,"$100,000.00",10.51%,742,701-750,3900,"$15,491.00",25.40%,3,0,0,0,,,,
1,Debt Consolidation,13.87%,$341.15,10.96819829,"$58,000.00",24.72%,702,701-750,6839,"$24,299.00",58.60%,0,0,0,1,,,,
1,Debt Consolidation,17.03%,$535.02,11.58058411,"$107,000.00",15.81%,662,651-700,6660,"$44,543.00",86.80%,0,0,0,1,,,,
1,Credit Card,9.76%,$160.78,10.4487146,"$34,500.00",1.46%,712,701-750,2970,"$3,735.00",21.50%,0,0,0,0,,,,
1,Home Improvement,10.08%,$129.22,10.3859137,"$32,400.00",16.26%,717,701-750,1560,"$2,352.00",27.30%,1,0,0,0,,,,
1,Debt Consolidation,12.61%,$335.07,10.858999,"$52,000.00",12.02%,672,651-700,2699,"$7,607.00",46.70%,0,0,0,0,,,,
1,Debt Consolidation,11.03%,$294.78,10.71441777,"$45,000.00",8.29%,687,651-700,2760,"$12,303.00",59.70%,0,0,0,0,,,,
1,Credit Card,10.39%,$233.65,10.77895629,"$48,000.00",12.63%,702,701-750,1140,"$5,824.00",44.70%,0,0,0,0,,,,
1,Debt Consolidation,12.92%,$504.84,10.71441777,"$45,000.00",6.08%,677,651-700,3240,"$5,071.00",78.00%,1,1,0,1,,,,
1,Debt Consolidation,10.39%,$486.76,10.88382293,"$53,307.00",11.37%,717,701-750,2250,$24.00,0.30%,0,0,0,0,,,,
1,Debt Consolidation,11.97%,$398.40,10.71441777,"$45,000.00",22.67%,702,701-750,3183,"$16,616.00",66.70%,0,0,0,0,,,,
1,Debt Consolidation,11.03%,$671.44,10.55581274,"$38,400.00",15.72%,722,701-750,3580,"$31,566.00",32.30%,1,0,0,1,,,,
1,Small Business,12.61%,$670.13,10.54534144,"$38,000.00",4.04%,687,651-700,3570,"$4,110.00",91.30%,0,0,0,0,,,,
1,Debt Consolidation,10.71%,$521.63,10.59653473,"$39,996.00",19.23%,722,701-750,3120,"$16,738.00",77.90%,1,0,0,0,,,,
1,All Other,9.76%,$803.87,12.20607265,"$200,000.00",4.95%,777,751-800,2159,"$54,392.00",0.00%,0,0,0,0,,,,
1,Home Improvement,11.03%,$98.26,11.23697432,"$75,885.00",11.80%,717,701-750,6589,"$46,427.00",98.40%,0,0,0,0,,,,
1,Credit Card,13.87%,$135.61,10.08580911,"$24,000.00",21.90%,662,651-700,4200,"$10,944.00",82.30%,1,0,0,0,,,,
1,Debt Consolidation,13.24%,$676.20,11.28978191,"$80,000.00",20.73%,697,651-700,4080,"$16,805.00",64.10%,0,0,0,0,,,,
1,Debt Consolidation,9.76%,$321.55,10.54534144,"$38,000.00",3.22%,722,701-750,2670,"$9,255.00",63.00%,0,0,0,0,,,,
1,Debt Consolidation,10.71%,$652.04,10.86969163,"$52,559.00",13.11%,727,701-750,4085,"$16,194.00",39.80%,1,0,0,0,,,,
1,Debt Consolidation,9.76%,$771.72,11.91839057,"$150,000.00",0.22%,782,751-800,4319,"$4,643.00",5.80%,3,0,0,0,,,,
1,Debt Consolidation,8.63%,$316.28,10.30895266,"$30,000.00",13.16%,752,751-800,4109,"$3,808.00",31.00%,2,0,0,0,,,,
1,Debt Consolidation,14.50%,$516.32,11.08214255,"$65,000.00",15.60%,662,651-700,3570,"$9,080.00",63.90%,1,0,0,0,,,,
1,Debt Consolidation,10.39%,$292.06,10.49460201,"$36,120.00",14.45%,707,701-750,1621,"$4,551.00",25.30%,0,0,0,0,,,,
1,Debt Consolidation,11.66%,$330.53,10.4341158,"$34,000.00",23.96%,742,701-750,3840,"$11,927.00",45.50%,2,0,0,0,,,,
1,Small Business,13.55%,$339.60,11.17885035,"$71,600.00",3.35%,662,651-700,5460,"$5,261.00",73.10%,2,1,0,1,,,,
1,Debt Consolidation,7.68%,$93.57,10.5865844,"$39,600.00",0.91%,767,751-800,5520,"$1,139.00",27.10%,1,0,0,0,,,,
1,Debt Consolidation,9.76%,$192.93,10.13459927,"$25,200.00",5.43%,707,701-750,2820,"$5,280.00",40.60%,1,0,0,0,,,,
1,Credit Card,9.45%,$320.10,11.08214255,"$65,000.00",11.69%,727,701-750,2641,"$13,607.00",63.30%,3,0,0,0,,,,
1,Debt Consolidation,11.34%,$394.80,10.54534144,"$38,000.00",8.72%,687,651-700,4261,"$11,134.00",70.90%,0,0,0,0,,,,
1,Home Improvement,11.34%,$329.00,11.22524339,"$75,000.00",14.80%,712,701-750,2970,"$23,623.00",45.70%,3,0,0,0,,,,
1,Debt Consolidation,11.03%,$311.16,11.22524339,"$75,000.00",11.30%,692,651-700,4380,"$9,711.00",71.40%,0,1,0,0,,,,
1,Debt Consolidation,8.00%,$94.01,10.49127422,"$36,000.00",2.60%,742,701-750,4380,"$2,456.00",23.40%,0,1,0,0,,,,
1,Debt Consolidation,13.87%,$341.15,10.4744671,"$35,400.00",13.19%,662,651-700,4050,"$11,969.00",88.00%,2,0,0,1,,,,
1,Small Business,9.45%,$192.06,11.00209984,"$60,000.00",13.16%,732,701-750,4470,"$32,421.00",55.00%,0,0,0,0,,,,
1,Major Purchase,8.32%,$182.61,10.46367461,"$35,020.00",0.72%,742,701-750,2767,"$1,348.00",5.20%,3,0,0,0,,,,
1,Debt Consolidation,16.71%,$710.18,11.08214255,"$65,000.00",20.09%,662,651-700,4110,"$26,255.00",74.30%,1,0,0,0,,,,
1,Debt Consolidation,10.71%,$508.59,10.77895629,"$48,000.00",14.58%,717,701-750,5219,"$20,838.00",62.60%,1,0,0,1,,,,
1,Credit Card,9.45%,$456.94,11.81303006,"$135,000.00",11.18%,737,701-750,3660,"$11,188.00",56.00%,1,0,0,0,,,,
1,All Other,8.00%,$313.37,11.66992921,"$117,000.00",0.00%,787,751-800,8370,$0.00,0.00%,0,0,0,0,,,,
1,Home Improvement,8.63%,$28.47,10.95080655,"$57,000.00",0.32%,717,701-750,1680,$167.00,3.30%,2,0,0,0,,,,
1,Debt Consolidation,11.66%,$330.53,10.30895266,"$30,000.00",15.44%,687,651-700,2159,"$10,997.00",75.30%,0,0,0,0,,,,
1,Major Purchase,10.08%,$32.31,10.54534144,"$38,000.00",20.53%,732,701-750,3360,"$2,308.00",46.20%,0,0,0,0,,,,
1,Debt Consolidation,11.97%,$481.40,11.08214255,"$65,000.00",8.60%,687,651-700,3270,"$15,506.00",95.70%,1,0,0,1,,,,
1,Debt Consolidation,11.34%,$263.20,10.08580911,"$24,000.00",9.80%,682,651-700,3210,"$7,720.00",63.70%,2,0,0,0,,,,
1,Debt Consolidation,10.71%,$163.01,10.828401,"$50,433.00",6.95%,687,651-700,4229,"$11,973.00",70.80%,0,0,1,0,,,,
1,All Other,9.76%,$675.25,10.71441777,"$45,000.00",1.79%,767,751-800,2044,$142.00,0.60%,0,0,0,0,,,,
1,Home Improvement,9.76%,$482.32,10.16585182,"$26,000.00",5.77%,777,751-800,4560,"$3,050.00",2.90%,1,0,0,1,,,,
1,Debt Consolidation,11.34%,$493.50,10.96335901,"$57,720.00",8.61%,697,651-700,5129,"$14,453.00",45.50%,1,0,0,0,,,,
1,All Other,9.76%,$180.07,10.59663473,"$40,000.00",7.47%,707,701-750,2939,"$7,842.00",43.80%,2,0,0,0,,,,
1,Debt Consolidation,10.39%,$162.26,11.15051985,"$69,600.00",15.72%,707,701-750,2970,"$5,762.00",43.30%,1,0,0,1,,,,
1,Home Improvement,8.63%,$316.28,11.60093634,"$109,200.00",6.40%,742,701-750,4080,"$2,339.00",44.10%,0,0,0,0,,,,
1,Debt Consolidation,13.87%,$375.26,10.81985828,"$50,004.00",20.93%,672,651-700,2340,"$17,436.00",93.20%,0,0,0,0,,,,
1,Debt Consolidation,9.76%,$482.32,10.91508846,"$55,000.00",15.10%,762,751-800,7920,"$11,648.00",14.80%,1,0,0,1,,,,
1,Debt Consolidation,14.50%,$663.47,10.42228135,"$33,600.00",9.86%,667,651-700,2940,"$8,731.00",56.70%,1,0,0,1,,,,
1,Debt Consolidation,15.13%,$173.65,10.93339264,"$56,016.00",21.32%,667,651-700,3600,"$22,210.00",98.30%,0,0,0,0,,,,
1,Debt Consolidation,8.63%,$221.40,10.6454249,"$42,000.00",2.74%,727,701-750,2310,"$6,496.00",40.10%,0,0,0,0,,,,
1,Debt Consolidation,11.03%,$360.29,9.92329018,"$20,400.00",6.82%,697,651-700,1530,"$3,041.00",84.50%,2,0,0,1,,,,
1,All Other,11.66%,$330.53,10.30895266,"$30,000.00",8.56%,682,651-700,1200,"$2,000.00",46.50%,3,0,0,0,,,,
1,Major Purchase,9.76%,$321.55,10.08580911,"$24,000.00",2.70%,717,701-750,5168,"$3,717.00",16.10%,3,1,0,1,,,,
1,Debt Consolidation,15.76%,$420.47,11.51292546,"$100,000.00",18.55%,667,651-700,4560,"$34,841.00",89.60%,0,0,0,0,,,,
1,All Other,9.45%,$224.07,11.44035477,"$93,000.00",10.86%,717,701-750,4080,"$5,257.00",32.90%,1,0,0,1,,,,
1,Debt Consolidation,14.18%,$548.25,11.84934056,"$139,992.00",3.40%,662,651-700,2610,"$15,193.00",33.40%,0,0,0,0,,,,
1,All Other,11.34%,$329.00,10.261162,"$28,600.00",5.37%,687,651-700,2730,"$3,245.00",54.10%,2,0,1,0,,,,
1,Debt Consolidation,12.29%,$490.29,10.52406404,"$37,200.00",21.94%,702,701-750,1950,"$14,694.00",43.10%,2,0,0,1,,,,
1,All Other,8.00%,$225.63,11.32659589,"$83,000.00",5.54%,762,751-800,4259,$438.00,0.80%,3,0,0,0,,,,
1,All Other,9.76%,$257.24,10.59663473,"$40,000.00",18.72%,742,701-750,6569,"$38,605.00",67.70%,0,0,0,0,,,,
1,Debt Consolidation,10.71%,$95.36,10.20359214,"$27,000.00",6.62%,682,651-700,1199,"$6,611.00",49.10%,1,0,0,0,,,,
1,Debt Consolidation,14.18%,$274.13,10.53049493,"$37,440.00",20.71%,662,651-700,4140,"$5,723.00",52.00%,1,0,0,0,,,,
